chamber,name,party,state
Senado,Marcelo Castro,MDB,PI
Camara dos Deputados,Marcelo Freixo,PSB,RJ
Camara dos Deputados,Marcelo Moraes,PL,RS
Camara dos Deputados,Marcelo Nilo,REPUBLICANOS,BA
Camara dos Deputados,Marcelo Ramos,PSD,AM
Camara dos Deputados,Marcel Van Hattem,NOVO,RS
Camara dos Deputados,Marcio Alvino,PL,SP
Camara dos Deputados,Márcio Biolchi,MDB,RS
Camara dos Deputados,Márcio Jerry,PCdoB,MA
Camara dos Deputados,Márcio Labre,PL,RJ
Camara dos Deputados,Márcio Macêdo,PT,SE
Camara dos Deputados,Márcio Marinho,REPUBLICANOS,BA
Camara dos Deputados,Marco Bertaiolli,PSD,SP
Camara dos Deputados,Marco Brasil,PP,PR
Camara dos Deputados,Marcon,PT,RS
Camara dos Deputados,Marcos Aurélio Sampaio,PSD,PI
Senado,Marcos do Val,PODEMOS,ES
Camara dos Deputados,Marcos Pereira,REPUBLICANOS,SP
Senado,Marcos Rogério,PL,RO
Camara dos Deputados,Marcos Soares,UNIÃO,RJ
Camara dos Deputados,Margarete Coelho,PP,PI
Senado,Margareth Buzetti,PP,MT
Senado,Maria das Vitórias,PSD,AC
Senado,Maria do Carmo Alves,PP,SE
Camara dos Deputados,Maria Do Rosário,PT,RS
Camara dos Deputados,Maria Rosas,REPUBLICANOS,SP
Camara dos Deputados,Marília Arraes,SOLIDARIEDADE,PE
Camara dos Deputados,Marina Santos,REPUBLICANOS,PI
Camara dos Deputados,Mário Heringer,PDT,MG
Camara dos Deputados,Mário Negromonte Jr.,PP,BA
Camara dos Deputados,Marlon Santos,PL,RS
Camara dos Deputados,Marreca Filho,PATRIOTA,MA
Camara dos Deputados,Marx Beltrão,PP,AL
Camara dos Deputados,Maurício Dziedricki,PODE,RS
Camara dos Deputados,Mauro Benevides Filho,PDT,CE
Camara dos Deputados,Mauro Lopes,PP,MG
Camara dos Deputados,Mauro Nazif,PSB,RO
Senado,Mecias de Jesus,REPUBLICANOS,RR
Camara dos Deputados,Merlong Solano,PT,PI
Camara dos Deputados,Miguel Lombardi,PL,SP
Camara dos Deputados,Milton Coelho,PSB,PE
Camara dos Deputados,Milton Vieira,REPUBLICANOS,SP
Camara dos Deputados,Misael Varella,PSD,MG
Camara dos Deputados,Natália Bonavides,PT,RN
Senado,Nelsinho Trad,PSD,MS
Camara dos Deputados,Nelson Barbudo,PL,MT
Camara dos Deputados,Nereu Crispim,PSD,RS
Camara dos Deputados,Neri Geller,PP,MT
Camara dos Deputados,Neucimar Fraga,PP,ES
Camara dos Deputados,Newton Cardoso Jr,MDB,MG
Camara dos Deputados,Ney Leprevost,UNIÃO,PR
Camara dos Deputados,Nicoletti,UNIÃO,RR
Senado,Nilda Gondim,MDB,PB
Camara dos Deputados,Nilson Pinto,PSDB,PA
Camara dos Deputados,Nilto Tatto,PT,SP
Camara dos Deputados,Nivaldo Albuquerque,REPUBLICANOS,AL
Camara dos Deputados,Norma Ayub,PP,ES
Camara dos Deputados,Odair Cunha,PT,MG
Senado,Ogari Pacheco,UNIÃO,TO
Camara dos Deputados,Olival Marques,MDB,PA
Senado,Omar Aziz,PSD,AM
Camara dos Deputados,Onyx Lorenzoni,PL,RS
Senado,Oriovisto Guimarães,PODEMOS,PR
Camara dos Deputados,Orlando Silva,PCdoB,SP
Camara dos Deputados,Osmar Serraglio,PP,PR
Camara dos Deputados,Osmar Terra,MDB,RS
Camara dos Deputados,Ossesio Silva,REPUBLICANOS,PE
Camara dos Deputados,Otoni De Paula,MDB,RJ
Camara dos Deputados,Ottaci Nascimento,SOLIDARIEDADE,RR
