chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Fábio Reis,https://pt.wikipedia.org/wiki/Fábio_Reis,Q48871933,PSD,SE
Camara dos Deputados,Fabio Schiochet,https://pt.wikipedia.org/wiki/Fabio_Schiochet,Q59204895,UNIÃO,SC
Camara dos Deputados,Fábio Trad,https://pt.wikipedia.org/wiki/Fábio_Trad,Q59204973,PSD,MS
Camara dos Deputados,Fausto Pinato,https://pt.wikipedia.org/wiki/Fausto_Pinato,Q19708125,PP,SP
Camara dos Deputados,Felício Laterça,https://pt.wikipedia.org/wiki/Felício_Laterça,Q60782593,PP,RJ
Camara dos Deputados,Felipe Carreras,https://pt.wikipedia.org/wiki/Felipe_Carreras,Q48871894,PSB,PE
Camara dos Deputados,Felipe Francischini,https://pt.wikipedia.org/wiki/Felipe_Francischini,Q47468510,UNIÃO,PR
Camara dos Deputados,Felipe Rigoni,https://pt.wikipedia.org/wiki/Felipe_Rigoni,Q59204263,UNIÃO,ES
Camara dos Deputados,Félix Mendonça Júnior,https://pt.wikipedia.org/wiki/Félix_Mendonça_Júnior,Q23893555,PDT,BA
Camara dos Deputados,Fernanda Melchionna,https://pt.wikipedia.org/wiki/Fernanda_Melchionna,Q30935558,PSOL,RS
Senado,Fernando Bezerra Coelho,https://pt.wikipedia.org/wiki/Fernando_Bezerra_Coelho,Q10281269,MDB,PE
Camara dos Deputados,Fernando Filho,https://pt.wikipedia.org/wiki/Fernando_Coelho_Filho,Q16940146,UNIÃO,PE
Senado,Fernando Collor de Mello,https://pt.wikipedia.org/wiki/Fernando_Collor,Q236503,PTB,AL
Camara dos Deputados,Fernando Monteiro,,,PP,PE
Camara dos Deputados,Fernando Rodolfo,https://pt.wikipedia.org/wiki/Fernando_Rodolfo,Q59284509,PL,PE
Camara dos Deputados,Filipe Barros,,,PL,PR
Camara dos Deputados,Flávia Arruda,https://pt.wikipedia.org/wiki/Flávia_Arruda,Q60961728,PL,DF
Camara dos Deputados,Flávia Morais,,,PDT,GO
Camara dos Deputados,Flaviano Melo,https://pt.wikipedia.org/wiki/Flaviano_Melo,Q10282741,MDB,AC
Senado,Flávio Arns,https://pt.wikipedia.org/wiki/Flávio_Arns,Q10283051,PODEMOS,PR
Senado,Flávio Bolsonaro,https://pt.wikipedia.org/wiki/Flávio_Bolsonaro,Q10283057,PL,RJ
Camara dos Deputados,Flávio Nogueira,,,PT,PI
Camara dos Deputados,Francisco Jr.,,,PSD,GO
